ca_pa,status,raise_date,target_date,audit,source,ower,deatails,root_cause_details,root_cause_completed_by,root_cause_target_date,root_cause_closed_date,corrective_action_details,corrective_action_completed_by,corrective_action_target_date,corrective_action_closed_date,preventive_action_details,preventive_action_completed_by,preventive_action_target_date,preventive_action_closed_date,follow_up_details,follow_up_completed_by,follow_up_target_date,follow_up_closed_date,accesptance_action_details,accesptance_action_completed_by,accesptance_action_target_date,accesptance_action_closed_date,implementing_action_details,implementing_action_completed_by,implementing_action_target_date,implementing_action_closed_date,
CA/PA-78,Closed,3/4/2022,4/9/2022,"AUD182 - ACAM In-depth Survey, Embraer ERJ-190 (4K-AZ64)",AZAL Audit/Inspection,"Latifov, Fuad","4K-AZ64 - Next weighing calculated not from actual AC weighing date (see attachment)
M.A. 302",Next Weighing calculating date was taken from date 30.04.2021 which is closing date of WORK Package GD 00004499.,"AZAL, Auditee",4/9/2022,3/31/2023,Next Weighing calculating date updated for calculating from 26.04.2021 which is closing date 26.04.2021 for Task Card E190 081000-AZ-1. Weight Report was prepared with date 26.04-2021,"AZAL, Auditee",4/9/2022,,"Calculating date for Task Card E190 081000-AZ-1 in future will be started from accomplishment date of TC, not from closing date of Work Package.","AZAL, Auditee",4/9/2022,,None,None,None,None,"Actions accepted, report revised","Latifov, Fuad",4/9/2022,4/8/2022,None,None,None,None,
CA/PA-177,Closed,9/20/2022,10/5/2022,"AUD264 - ACAM In-depth Survey, Boeing 757/767/777",CA/PA,"AZAL, Auditee","1.Aircraft AD Status – page 24/81 – AD#2007-26-02- not indicated - last performed or threshold
2. AD could not be ""rejected"" 
3.JOB CARDS SCHEDULE – page 1 -  reference  -  indicated B767F, B787.","Before non-conformance some ADs with status N/A were mentioned as ""Rejected""","AZAL, Auditee",10/5/2022,2/7/2023,"AD status updated
The wording ""rejected"" was removed.
Job cards schedule uploaded (please see attachment)","AZAL, Auditee",10/5/2022,,control over AD status will be strengthened.,"AZAL, Auditee",10/5/2022,,None,None,None,None,AD Status and Job cards provided,"Mazanov, Rauf",10/6/2022,10/6/2022,None,None,None,None,
CA/PA-106,Closed,4/5/2022,4/29/2022,AUD159 - ANS Inspection Gabala (CNS),AZANS Audit/Inspection,"AZAL, Auditee",,"Qəbələaeronaviqasiya U və RRTT xidmətinin rəisinin funksiyalarını yerinəyetirən RN üzrə mühəndis Zeynalov Samir Zabit oğlu yeni təyin olunduğu üçün rabitə xətti və idarəetmə sxemi yenilənib lakin, təsdiq olunmayıb.","AZANS, Auditee",4/22/2022,12/28/2022,"""Qəbələaeronaviqasiya"" U və RRTT xidmətinin rabitə xətti və idarəetmə sxemi yenilənib və ""Azəraeronaviqasiya"" HHİ direktoru tərəfindəm təsdiqlənib","AZANS, Auditee",4/22/2022,,Sənədlər daimi yoxlanılacaq,"AZAL, Auditee",4/22/2022,,None,None,None,None,,"Farajov, Chingiz",4/29/2022,4/29/2022,None,None,None,None,
CA/PA-178,Closed,9/23/2022,10/5/2022,"AUD265 - ACAM Ramp Survey, Boeing 757/767/777",CA/PA,"AZAL, Auditee",Delamination on the right hand window in the pilot cabin which is not indicated anywhere. ( see foto 1),"due to intensity of the flights, it has been overlooked","AZAL, Auditee",10/5/2022,2/7/2023,The non confirmance was eliminated.,"AZAL, Auditee",10/5/2022,,Technical staff are informed about detailed inspection.,"AZAL, Auditee",10/5/2022,,None,None,None,None,NRC provided,"Mazanov, Rauf",10/6/2022,10/6/2022,None,None,None,None,
CA/PA-112,Closed,5/4/2022,2/28/2023,AUD148 - ANS Inspection 06/2022 Nakhchivan (ATS/ATM),AZANS Audit/Inspection,"AZANS, Auditee","Has the ANSP developed and promulgated procedures required to be followed by pilots in case of air-ground radio communication failure?
Review mechanism established to ensure effective implementation.
Review documented evidence of implemented procedures related to air-ground radio communications failure.
Not Satisfactory. On the JD's has not detailed described procedures required to be followed by pilots in case of RCF. Also has not shown any publications in AIP. 
Checklist:Nakhchivan İnspection Checklist 14-15.04.2022
Question No. 5",Yerli təlimata Hava Hərəkəti Təşkili Təlimatı b.15.3. əlavə olunmayıb,"AZANS, Auditee",5/14/2022,9/14/2022,"Naxçıvan “QÜLLƏ” dispetçerin yerli təlimatının yeni versiyasında bu prosedur qeyd olunacaq
İyun 2022-ci il","AZANS, Auditee",7/14/2022,,Hava Hərəkətinin Təşkili Təlimatının b. 15.3 nəzərə alınacaq ,"AZANS, Auditee",7/14/2022,,None,None,None,None,Follow Up required,"Gasimov, Emin",2/28/2023,7/15/2024 11:55,None,None,None,None,
CA/PA-195,Closed,10/14/2022,11/14/2022,AUD287 - ACAM -In Depth Survey on A/C A340 FLEET(4K-AZ85),CA/PA,"AZAL, Auditee",The organization cannot fully demonstrate compliance with point AAR-M.305(d)1: -Status of a lot of AC Airworthiness Directives shown as rejected “REJ”. AD could not be rejected.,Human Factor.,"AZAL, Auditee",11/14/2022,9/15/2022,"The wording ""REJ"" will be removed.
The wording ""REJ"" was removed.","AZAL, Auditee",11/14/2022,,"In order to avoid this issue in future  the wording ""REJ"" will be  removed from all AD status list .","AZAL, Auditee",11/14/2022,,None,None,None,None,Provided evidence,"Hasanov, Oktay",11/14/2022,11/16/2022,None,None,None,None,
CA/PA-118,Closed,5/23/2022,6/2/2022,AUD160 - ANS Inspection 09/2022 Ganja (CNS),CA/PA,"Farajov, Chingiz","Layout of facilities relative to the runway
unsat
Checklist:""Ganjaaeronavigation"" CNS
Question No. 8.9.3.4",obyektlərin yerləşmə sxemi yeni tədbiq edilmiş sxemlərə uyğun deyil,"AZANS, Auditee",6/1/2022,9/15/2022,02.06.2022 il  tarixində yeni hazırlanmış sxem təqdim olunacaq,"AZANS, Auditee",6/1/2022,,sənədlər daimi yoxlanılacaq,"AZANS, Auditee",6/1/2022,,None,None,None,None,status closed,"Farajov, Chingiz",6/2/2022,6/2/2022,None,None,None,None,
CA/PA-196,Closed,10/14/2022,11/14/2022,AUD287 - ACAM -In Depth Survey on A/C A340 FLEET(4K-AZ85),CA/PA,"AZAL, Auditee","The organization cannot fully demonstrate compliance with point AAR-M. 708 (b)9, 714(e):- Current ATLB on Aircraft was №63 whereas CAMO was able to provide only electronical version of ATLB №60 (completion date 27.07.2022).",It was under procedure of providing mentioned ATLB page from SWT PPCD to AZAL PPCD,"AZAL, Auditee",11/14/2022,2/7/2023,"ATLB #63 will be provided
The ATLB # 63 was  provided and archived","AZAL, Auditee",11/14/2022,,The responsible staffs were informed to expedite delivering process of ATLB pages,"AZAL, Auditee",11/14/2022,,None,None,None,None,Provided evidence ATLB for 4K-AZ85,"Hasanov, Oktay",11/14/2022,11/14/2022,None,None,None,None,
CA/PA-126,Closed,3/14/2022,3/31/2022,"AUD194 - Reliability Programme Survey (including EDTO Monitoring), Boeing 787-8 (VP-BBR, VP-BBS)",CA/PA,"AZAL, Auditee","During surveillance, the CAMO was able to show the In-Flight Shout Down rate, however, reliability reports did not include the overall basis of IFSD rate, 12-month rolling average, and rate per 1000 engine hours as required by section 8 of AHY-EDTO-MPM-FLEET.","Fortunately, we do not have In-Flight Shout Down so far and have not included in reliability reports.","AZAL, Auditee",3/16/2022,2/20/2023,Report has been corrected and uploaded to Q-pulse,"AZAL, Auditee",3/16/2022,,Further reports will include mentioned rates,"AZAL, Auditee",3/16/2022,,None,None,None,None,Corrective and preventive action has been accepted.,"Latifov, Karim A",3/18/2022,3/18/2022,None,None,None,None,
CA/PA-197,Closed,10/17/2022,11/14/2022,"AUD288 - AZAL (CAMO-001), Foreign Aircraft Survey (Boeing 787)",CA/PA,"AZAL, Auditee","The organization cannot fully demonstrate compliance with point AAR-T.201, GM to T.201: - Extended MEL 24-22-02-05 CAT “C” written in ATLB page and OCOD page does not contain correct reference (APP №249) instead signature is written and MEL extension approval form APP №249 is not signed by Technical pilot and Fleet manager.","The boxes  mentioned that the technical pilot and fleet engineer are not signed is non mandatory.
Human Factor.","AZAL, Auditee",10/28/2022,2/7/2023,"The boxes  mentioned that the technical pilot and fleet engineer are not signed is non mandatory.
The item will be closed till 14 December 2022
OCOD ATLB #81 is corrected and uploaded.","AZAL, Auditee",10/28/2022,,Corrected OCOD provided,"Mazanov, Rauf",11/14/2022,,None,None,None,None,The certifying staff were informed to pay  more attention.,"AZAL, Auditee",11/14/2022,1/5/2023,None,None,None,None,
CA/PA-127,Closed,3/14/2022,3/31/2022,"AUD194 - Reliability Programme Survey (including EDTO Monitoring), Boeing 787-8 (VP-BBR, VP-BBS)",CA/PA,"AZAL, Auditee","The CAMO fails to provide monthly reliability report on time as indicated in AZAL-CAME-001 R.00, section 1.10 for January 2022.","Human Factor, distribution of the report has been forgotten","AZAL, Auditee",3/15/2022,9/15/2022,Report has been uploaded to Q-pulse,"AZAL, Auditee",3/15/2022,,Additional training has been conducted for the responsible person.,"AZAL, Auditee",3/15/2022,,None,None,None,None,Reliability reports have been provided and preventive action has been accepted.,"Latifov, Karim A",3/15/2022,3/15/2022,None,None,None,None,
CA/PA-198,Closed,10/17/2022,11/14/2022,"AUD288 - AZAL (CAMO-001), Foreign Aircraft Survey (Boeing 787)",CA/PA,"Hasanov, Oktay","The organization cannot fully demonstrate compliance with point AAR-T.201, GM to T.201: - Maintenance program is not revised more than one year (AHY-787-MP-Fleet rev 17 dated 12.07.2021).",It was under procedure,"AZAL, Auditee",10/28/2022,9/15/2022,"The item will be raised till 14 December 2022
The Maintenance Program was revised and as evidence was upploaded to SCAA Q-Pulse.","AZAL, Auditee",11/14/2022,,Accepted. Provided updated MP.See the attached file.,"Hasanov, Oktay",1/31/2023,,None,None,None,None,In future the task implementation will be prioritizated,"NAA, Auditee",11/14/2022,2/7/2023,None,None,None,None,
CA/PA-128,Closed,4/21/2022,6/20/2022,"AUD207 - Flight Recorder Serviceability Survey, Boeing 767-300 (4K-AZ81)",CA/PA,"AZAL, Auditee","The document D226A101-4 (Rev. K, May 10, 2010) for the parameter allocation and conversion equations is not up-to-date (last Rev. L, January 13, 2020).",Human Factor,"AZAL, Auditee",6/20/2022,9/15/2022,Necessary file updated and  provided to SCAA,"AZAL, Auditee",6/20/2022,,The control will be strengthened over MyBoeingFleet site.  ,"AZAL, Auditee",6/20/2022,,None,None,None,None,Follow Up required,"Latifov, Fuad",,6/20/2022,None,None,None,None,
CA/PA-199,Closed,10/17/2022,11/14/2022,"AUD288 - AZAL (CAMO-001), Foreign Aircraft Survey (Boeing 787)",CA/PA,"AZAL, Auditee","The organization cannot fully demonstrate compliance with point AAR-T.201, GM to T.201: - Several TCOD items are not transferred from ATLB №80 to ATLB №81. For example, sheet №4 item №5 (Delamination of the right window).",At night shift was overlooked by staff,"AZAL, Auditee",10/28/2022,2/7/2023,All TCOD items were transferred from ATLB#80 to ATLB#81.Sheet#4 item #5 included too.,"AZAL, Auditee",11/14/2022,,Provided ATLB,"Mazanov, Rauf",11/14/2022,,None,None,None,None,All staff were informed about increasing control over Log Book.,"AZAL, Auditee",11/14/2022,11/14/2022,None,None,None,None,
CA/PA-166,Closed,8/15/2022,10/15/2022,"AUD247 - Azerbaijan Airlines (AZ.CAMO.0001), ACAM In-depth Survey (Airbus A319/A320)",CA/PA,"Latifov, Fuad","4K-AZ80, DBC item 35 and Repair Mapping item 18 shows the same place but refers to different slat number (slat #1 and slat #5).
Also, IAW attached photo #8 there are several dents on the slat #1 however, DBC and RM shows only two dents.",Human Factor,"AZAL, Auditee",8/22/2022,1/6/2023,"DBC will be updated during 2 (two) weeks.
performed visual inspection of the slat #1 top skin and found only one repair which is mentioned in RMRS as item 18. No any other dents or repairs are present.As per SRM 57-40-00-300-023 Paragraph 2 (A) 4 exist repair has been reinstalled ,due to some parts of the filling compund has been disbonded and missed. IT# 35 in RMRS figure is corrected (NRC attached)","AZAL, Auditee",8/22/2022,,personnel are informed of the need for a thorough inspection,"AZAL, Auditee",8/22/2022,,None,None,None,None,Follow Up required,"Latifov, Fuad",,10/14/2022,None,None,None,None,
CA/PA-903,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee","CAMO.315(c). SWT şirkətinin Texniki xidmət təşkilatı mövcud olan SWT/AZAL/2017-AAR nömrəli sazişin 22-ci bəndində nəzərdə tutulan iclasları tam keçirilməmişdir (1.İldə bir dəfə sazişin müzakirəsi. 2.ildə 2 dəfə keçirilməli olan iş həcminin, texniki məsələlər üzrə, etibarlıq üzrə və.s iclasların protokolları təqdim olunmamışdır.",Bu görüşlərin təşkili və sənədləşdirilmə si üçün aydın məsuliyyət bölgüsünün olmaması.,"AZAL, Auditee",2/3/2025,10/7/2022,"31 mart 2025-ci il tarixinədək tələb olunan görüşləri planlaşdırılıb və keçiriləcək, həmçinin lazımi sənədlərin və iclas protokollarının/qeydlərinin təqdim olunması təmin ediləcək.","AZAL, Auditee",2/3/2025,,"Yığıncaqların təşkili, keçirilməsi və sənədləşdiril məsi öhdəliklərini aydın şəkildə
müəyyən etmək üçün HGUYSİ-nin daxili prosedurlarının yenilənməsi 20.04.2025 qədər.","AZAL, Auditee",2/3/2025,,"Sübutedici sənədlər təqdim olunmuşdur.
Növbəti audit zamanı bir daha yoxlanacaqdır.","Nasirov, Namig",4/17/2025,4/17/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,İclas protokollar və CAMO-NOTICE (daxili prosedur kimi) əlavə olunub.,"AZAL, Auditee",4/20/2025,4/17/2025,
CA/PA-904,Closed,1/24/2025,4/30/2025,"AUD545 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",Surveillance,"AZAL, Auditee",CAMO.325. Təşkilatda abunəliklərinin olduğu veb portalların izlənilməsi siyahısı mövcud deyil.,Veb portallara abunəliklərin izlənilməsi və idarə edilməsi prosesini təsvir edən heç bir prosedur mövcud deyil.,"AZAL, Auditee",2/3/2025,9/23/2022,"31 mart 2025-ci il tarixinədək portal adı, abunə statusu, yenilənmə tarixləri və təyin edilmiş məsul işçilər kimi təfərrüatları əhatə edən mərkəzləşdirilmiş abunə izləmə siyahısı yaradılacaq. Abunələrlə işləmə prosesi ""Technical Library Procedure"" (AHY-CAM-PRO-0013) sənədində göstəriləcək.","AZAL, Auditee",2/3/2025,,"Baxış siyahısının düzgünlüyü və tamlığının yoxlanılması, həmçinin bütün abunələrin aktiv şəkildə izlənilməsi məqsədilə Product auditinin bir hissəsi olaraq dövri auditlər keçiriləcək 25.04.2025 qədər..","AZAL, Auditee",2/3/2025,,"Sübutedici sənədlər təqdim olunmuşdur.
Növbəti audit zamanı bir daha nəzər yetiriləcəkdir.","Nasirov, Namig",4/21/2025,4/21/2025,Qəbul edilir,"Nasirov, Namig",4/7/2025,4/7/2025,"Technical Library Procedure"" (AHY-CAM-PRO-0013) təftiş olunub. Product audit həyata keçirilib. Subscription list yaradılıb. Technical Library Procedure, Subscription list və Product auditin reportu əlavə olunub.","AZAL, Auditee",4/25/2025,4/18/2025,
CA/PA-928,Closed,3/6/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.CAT.MPA.175----Dövri psixofizioloji yoxlamalar tətbiq olunmur.,"PC07 - Misperception of operational conditions, incorrect interpretation and understanding (audit zamanı anlaşılmazlıq)","AZAL, Auditee",4/25/2025,9/15/2022,Yoxlamaların keçirilməsini sübut edən sənədlər təqdim olunacaq.,"AZAL, Auditee",4/25/2025,,Aidiyyatı təşkilati struktur bölmələr arasında koordinasiya və məlumat axını təkmilləşdiriləcək.,"AZAL, Auditee",4/25/2025,,,"Gudratov, Namiq",4/25/2025,4/25/2025,Please provide evidence,"Abdullayev, Emil",4/25/2025,4/10/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/11/2025,
CA/PA-929,Closed,3/6/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.ORO.FTL.205---OM-A sənədində Operator tərəfindən qaydalara istinad olmayan artırılmış 2 saat iş vaxtı barədə təlimat tətbiq olunub.,"PC07 - Misperception of operational conditions, incorrect interpretation and understanding (audit zamanı anlaşılmazlıq)","AZAL, Auditee",4/25/2025,2/7/2023,"OM-A sənədinin 7-ci fəsili “AHY” və DMAA hüquqşünasları tərəfindən bir də müzakirə olunacaq və, ehtiyac yaranarsa, sənəddə lazımi dəyişikliklər ediləcək.","AZAL, Auditee",4/25/2025,,Audit zamanı yoxlanılan qurumla auditor(lar) arasında koordinasiya gücləndiriləcək.,"AZAL, Auditee",4/25/2025,,Closed,"Nabiyev, Nabi A",4/25/2025,4/22/2025,Sübüt edici sənədlə təmin edilsin.,"Nabiyev, Nabi A",4/25/2025,4/10/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/11/2025,
CA/PA-930,Closed,3/6/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.CAT.POL.MAB.100---OM-A sənədində “Gulfstream” hava gəmisinə münasibətdə uçuş heyəti və sərnişinlər üçün təyin olunmuş standart çəkilər əks olunmur.,IS05 – Inadequate supervision (sənədlərə zəif nəzarət),"AZAL, Auditee",4/25/2025,1/6/2023,"Uyğunsuzluğa dair müvafiq dəyişiklik OM-A sənədinin 13-cü nəşrinin 1-ci təftişinin 8.1.8.6.2-ci fəsilinin 8.1-28-ci cədvəlində əks olunub. Sənədin qaralama variantı DMAA ilə əvvəlcədən razılaşdırılaraq, OM-A 13.1 Agentlik tərəfindən artıq təsdiq olunub.","AZAL, Auditee",4/25/2025,,"Sənədlərə nəzarət gücləndiriləcək.
Keyfiyyətin Təminatı İdarəsi auditlər zamanı sənədlərin yoxlanmasına xüsusi diqqət yetirəcək.","AZAL, Auditee",4/25/2025,,,"Abdullayev, Emil",4/25/2025,4/23/2025,Please provide evidence,"Gudratov, Namiq",4/25/2025,4/10/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/11/2025,
CA/PA-931,Closed,3/6/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.CAT.GEN.MPA.180----Uçuş Heyətləri üçün Beynəlxalq Hava Məkanında hava gəmisinin qarşısını almaq istəyən (interception) hava gəmisi tərəfindən verilən siqnalların mənasını əks etdirən məlumat mövcud deyil,"PC07 - Misperception of operational conditions, incorrect interpretation and understanding (audit zamanı anlaşılmazlıq)","AZAL, Auditee",4/25/2025,2/7/2023,"OM-A sənədinin audit zamanı aktual olan 13-cü nəşrinin 8.1.12.1-ci fəsili DMAA-ya göndəriləcək. Həmçinin, məsələ ilə bağlı pilotlar üçün tiplər üzrə ayrıca kitabçalar (handbooks) hazırlanacaq.","AZAL, Auditee",4/25/2025,,Audit zamanı yoxlanılan qurumla auditor(lar) arasında koordinasiya gücləndiriləcək.,"AZAL, Auditee",4/25/2025,,,"Abdullayev, Emil",4/25/2025,4/25/2025,Please provide evidence,"Nabiyev, Nabi A",4/25/2025,4/10/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/11/2025,
CA/PA-932,Closed,3/6/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.CAT.GEN.MPA.180-----Qəza zamanı uçuş marşrutları üzrə mövcud olan qəza-xilas etmə mərkəzləri haqqında məlumatlar mövcud deyil.,"PC07 - Misperception of operational conditions, incorrect interpretation and understanding (audit zamanı anlaşılmazlıq)","AZAL, Auditee",4/25/2025,9/15/2022,"OM-A sənədinin audit zamanı aktual olan 13-cü nəşrinin 8.1.12.1-ci fəsili DMAA-ya göndəriləcək. Həmçinin, məsələ ilə bağlı pilotlar üçün tiplər üzrə ayrıca kitabçalar (handbooks) hazırlanacaq və OM-A-də, Jeppesen ilə yanaşı, istinad OM-C-yə də qeyd ediləcək. 
OM-C-yə lazımi məlumat əlavə ediləcək.","AZAL, Auditee",4/25/2025,,Audit zamanı yoxlanılan qurumla auditor(lar) arasında koordinasiya gücləndiriləcək.,"AZAL, Auditee",4/25/2025,,"information concerning search and rescue services for the area of the intended flight, which shall be easily accessible in the flight crew compartment; The provided information is not detailed enough.","Abdullayev, Emil",4/30/2025,4/15/2025,Please provide evidence,"Abdullayev, Emil",4/25/2025,4/10/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/11/2025,
CA/PA-933,Closed,3/6/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.CAT.GEN.MPA.180----OM-A sənədində Gulfstream hava gəmisi üçün şərnişlərin HG-ya minməsi və enməsi təlimatları mövcud deyil.,"PC07 - Misperception of operational conditions, incorrect interpretation and understanding (audit zamanı anlaşılmazlıq)","AZAL, Auditee",4/25/2025,9/15/2022,OM-A sənədinin audit zamanı aktual olan 13-cü nəşrinin 8.3.15.3-cü və 8.3.15.4-cü fəsilləri DMAA-ya göndəriləcək.,"AZAL, Auditee",4/25/2025,,Audit zamanı yoxlanılan qurumla auditor(lar) arasında koordinasiya gücləndiriləcək.,"AZAL, Auditee",4/25/2025,,,"Abdullayev, Emil",4/25/2025,4/23/2025,Please provide evidence,"Abdullayev, Emil",4/25/2025,4/10/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/11/2025,
CA/PA-934,Closed,3/6/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee","AAR-OPS11.CAT.GEN.MPA.105----OM-A sənədində alkoqol və ya psixitrop  maddələrin təsiri altında olan sərnişinin hava gəmisinə minməsinin qarşısının alınması, hava gəmisindən düşürdülməsi müddəaları ətraflı qeyd olunmayıb",IS05 – Inadequate supervision (sənədlərə zəif nəzarət),"AZAL, Auditee",4/25/2025,9/15/2022,"Uyğunsuzluğa dair müvafiq dəyişiklik OM-A sənədinin 13-cü nəşrinin 1-ci təftişinin 8.2.3.1-ci fəsilində əks olunub. Sənədin qaralama variantı DMAA ilə əvvəlcədən razılaşdırılaraq, OM-A 13.1 Agentlik tərəfindən artıq təsdiq olunub.","AZAL, Auditee",4/25/2025,,"Sənədlərə nəzarət gücləndiriləcək.
Keyfiyyətin Təminatı İdarəsi auditlər zamanı sənədlərin yoxlanmasına xüsusi diqqət yetirəcək.","AZAL, Auditee",4/25/2025,,,"Abdullayev, Emil",4/25/2025,4/25/2025,Please provide evidence,"Abdullayev, Emil",4/25/2025,4/10/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/11/2025,
CA/PA-935,Closed,3/6/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.CAT.OP.MPA.295---A320-271N tipli hava gəmiləri üçün “TCAS blue” sistemin təlimatı mövcud deyil.,IS05 – Inadequate supervision (sənədlərə zəif nəzarət),"AZAL, Auditee",4/25/2025,2/7/2023,"Uyğunsuzluğa dair müvafiq dəyişiklik OM-A sənədinin 13-cü nəşrinin 1-ci təftişinin 8.3.6-cı fəsilində əks olunub. Sənədin qaralama variantı DMAA ilə əvvəlcədən razılaşdırılaraq, OM-A 13.1 Agentlik tərəfindən artıq təsdiq olunub.","AZAL, Auditee",4/25/2025,,"Sənədlərə nəzarət gücləndiriləcək.
Keyfiyyətin Təminatı İdarəsi auditlər zamanı sənədlərin yoxlanmasına xüsusi diqqət yetirəcək.","AZAL, Auditee",4/25/2025,,,"Abdullayev, Emil",4/25/2025,4/23/2025,,"Abdullayev, Emil",4/25/2025,4/10/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/11/2025,
CA/PA-936,Closed,3/6/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.CAT.OP.MPA.210---OM-A sənədində Uçuş zamanı uçuş heyətlərinin bir birini əvəz etməsi barədə təlimat mövcud deyil.,IS05 – Inadequate supervision (sənədlərə zəif nəzarət),"AZAL, Auditee",4/25/2025,1/6/2023,"Uyğunsuzluğa dair müvafiq dəyişiklik OM-A sənədinin 13-cü nəşrinin 1-ci təftişinin 8.3.1.1.5.4-cü fəsilində əks olunub. Sənədin qaralama variantı DMAA ilə əvvəlcədən razılaşdırılaraq, OM-A 13.1 Agentlik tərəfindən artıq təsdiq olunub.","AZAL, Auditee",4/25/2025,,"Sənədlərə nəzarət gücləndiriləcək.
Keyfiyyətin Təminatı İdarəsi auditlər zamanı sənədlərin yoxlanmasına xüsusi diqqət yetirəcək.","AZAL, Auditee",4/25/2025,,,"Abdinov, Ruslan N.",4/25/2025,4/23/2025,Please provide evidence,"Abdullayev, Emil",4/25/2025,4/10/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/11/2025,
